bible_version,hebrew_id,0
NLT,H5892,48
KJV,H120,48
ESV,H5892,48
KJV,H259,48
NLT,H5375,47
NIV,H3808,47
ESV,H7704,47
ESV,H259,47
NLT,H259,47
ESV,H5375,47
NLT,H4725,47
ESV,H4725,47
NLT,H7704,47
NIV,H7704,47
NIV,H4725,47
NIV,H259,47
NLT,H3808,47
ESV,H3808,47
NIV,H5375,47
ESV,H3667,46
KJV,H3667,46
NLT,H3667,46
NIV,H3667,46
KJV,H5315,46
KJV,H7354,46
NLT,H369,45
KJV,H2896,45
ESV,H120,45
KJV,H369,45
ESV,H369,45
NIV,H120,45
NLT,H120,45
NIV,H369,45
KJV,H3701,44
NIV,H127,43
KJV,H3478,43
ESV,H2896,43
ESV,H441,43
NLT,H127,43
NIV,H7354,43
ESV,H127,43
NLT,H441,43
KJV,H127,43
NLT,H2896,43
KJV,H441,43
NIV,H2896,43
NIV,H441,43
ESV,H7354,43
NLT,H7354,43
ESV,H3478,42
KJV,H5046,42
KJV,H8064,42
ESV,H3701,42
NLT,H3478,42
NLT,H3701,42
NIV,H3478,42
NIV,H3701,42
NIV,H5146,41
NLT,H8064,41
NIV,H4428,41
NIV,H8064,41
NIV,H5704,41
KJV,H4428,41
ESV,H4428,41
NLT,H4428,41
KJV,H5146,41
ESV,H5704,41
NLT,H5704,41
ESV,H8064,41
NLT,H5146,41
ESV,H5146,41
NLT,H6258,40
KJV,H6258,40
NIV,H6258,40
ESV,H6258,40
KJV,H408,39
KJV,H3966,38
ESV,H996,38
KJV,H8283,38
NIV,H996,38
NLT,H996,38
KJV,H7451,37
NLT,H8283,37
NIV,H8283,37
ESV,H8283,37
ESV,H7451,36
NLT,H5046,36
NLT,H3966,36
NLT,H5315,36
NIV,H5315,36
NIV,H3966,36
ESV,H7812,36
NIV,H7451,36
NIV,H5046,36
NLT,H7812,36
ESV,H3966,36
ESV,H5315,36
NIV,H7812,36
ESV,H5046,36
KJV,H1980,36
KJV,H6030,36
NLT,H7451,36
KJV,H6680,35
NLT,H5066,35
ESV,H5066,35
NIV,H5066,35
KJV,H7235,34
ESV,H2472,34
KJV,H4735,34
KJV,H1419,34
NLT,H2472,34
KJV,H3812,34
NIV,H2472,34
ESV,H5971,33
ESV,H1419,33
ESV,H3812,33
KJV,H5674,33
NIV,H3812,33
KJV,H2472,33
NLT,H5971,33
NIV,H1419,33
NLT,H3812,33
KJV,H1870,33
NLT,H1419,33
KJV,H5971,33
KJV,H1320,33
NIV,H5971,33
KJV,H6086,32
NIV,H8198,32
KJV,H7969,32
ESV,H5288,32
KJV,H1471,32
KJV,H8478,32
NIV,H5288,32
NLT,H5288,32
ESV,H8198,32
NLT,H8198,32
KJV,H1285,31
NIV,H1320,31
KJV,H6912,31
NIV,H7235,31
ESV,H1870,31
NLT,H7235,31
ESV,H7235,31
NIV,H1870,31
NLT,H1870,31
ESV,H1320,31
NLT,H1320,31
NIV,H7259,30
ESV,H7259,30
KJV,H7259,30
NLT,H3876,30
KJV,H3876,30
NIV,H3876,30
KJV,H5066,30
ESV,H3876,30
NLT,H7259,30
KJV,H8198,30
NIV,H2022,29
ESV,H6086,29
NIV,H7969,29
ESV,H2022,29
ESV,H5674,29
NIV,H5674,29
ESV,H7969,29
NLT,H6086,29
NLT,H7969,29
KJV,H168,29
ESV,H8478,29
NLT,H8478,29
NIV,H8478,29
NLT,H2022,29
KJV,H5288,29
NIV,H6086,29
NLT,H5674,29
KJV,H7458,29
KJV,H2029,28
NIV,H3063,28
NLT,H6680,28
NLT,H6912,28
KJV,H7812,28
ESV,H6912,28
ESV,H6680,28
KJV,H3063,28
NIV,H6680,28
ESV,H3063,28
NIV,H6912,28
NLT,H3063,28
KJV,H6963,27
NIV,H1285,27
KJV,H8269,27
NLT,H1471,27
ESV,H1285,27
KJV,H3915,27
KJV,H8248,27
NIV,H1471,27
ESV,H1471,27
NLT,H1285,27
KJV,H1008,26
KJV,H8392,26
NLT,H7901,26
KJV,H5307,26
KJV,H517,26
ESV,H517,26
ESV,H7901,26
NIV,H8392,26
NLT,H517,26
NIV,H7901,26
KJV,H5647,26
KJV,H2568,26
NIV,H517,26
NLT,H8392,26
ESV,H8392,26
NLT,H8269,25
KJV,H269,25
NIV,H4735,25
KJV,H6310,25
ESV,H8269,25
ESV,H3915,25
NIV,H8269,25
ESV,H1581,25
KJV,H1581,25
NLT,H3915,25
NLT,H4735,25
NIV,H1581,25
NLT,H1581,25
ESV,H4735,25
NIV,H3915,25
KJV,H3899,25
KJV,H3372,25
NIV,H5775,24
NIV,H6963,24
NLT,H40,24
NIV,H7458,24
NIV,H3899,24
ESV,H6963,24
NIV,H6240,24
NLT,H7458,24
KJV,H40,24
KJV,H2022,24
ESV,H269,24
ESV,H7458,24
NLT,H3899,24
NIV,H40,24
ESV,H5775,24
NLT,H6240,24
NLT,H6963,24
NIV,H269,24
ESV,H6240,24
ESV,H3899,24
NLT,H269,24
KJV,H875,24
ESV,H40,24
NLT,H5775,24
KJV,H6240,24
KJV,H7901,23
ESV,H2568,23
NIV,H7462,23
KJV,H2734,23
ESV,H5647,23
NLT,H168,23
KJV,H5775,23
NIV,H168,23
KJV,H1129,23
NIV,H2568,23
NLT,H5647,23
NLT,H7462,23
NIV,H5647,23
KJV,H3615,23
ESV,H168,23
NLT,H2568,23
ESV,H7462,23
NIV,H875,22
NLT,H3372,22
ESV,H8248,22
NIV,H3372,22
KJV,H4135,22
KJV,H884,22
ESV,H3201,22
NLT,H875,22
NLT,H8248,22
NIV,H3201,22
NIV,H7650,22
ESV,H875,22
NLT,H7650,22
NIV,H8248,22
KJV,H7650,22
ESV,H3372,22
NLT,H3201,22
KJV,H4427,22
KJV,H3201,22
ESV,H7650,22
NLT,H929,21
KJV,H3254,21
KJV,H7843,21
ESV,H5467,21
NLT,H5467,21
NIV,H5467,21
NIV,H929,21
ESV,H929,21
KJV,H410,21
KJV,H6307,21
NIV,H2029,21
KJV,H5467,21
NLT,H2029,21
KJV,H929,21
ESV,H2029,21
KJV,H6996,21
NIV,H7218,20
NLT,H6996,20
NIV,H6996,20
NLT,H7218,20
NLT,H6310,20
NLT,H6509,20
KJV,H4713,20
NIV,H6509,20
KJV,H3206,20
KJV,H3426,20
ESV,H7218,20
ESV,H6509,20
KJV,H622,20
NIV,H6310,20
ESV,H6996,20
KJV,H5668,20
ESV,H6310,20
ESV,H1431,19
ESV,H5307,19
ESV,H1242,19
KJV,H6435,19
KJV,H7218,19
NLT,H3206,19
KJV,H7970,19
NIV,H3206,19
ESV,H4427,19
ESV,H3615,19
KJV,H1242,19
NLT,H5307,19
KJV,H1058,19
NIV,H3615,19
KJV,H1431,19
NLT,H3615,19
NIV,H1431,19
NLT,H4427,19
NLT,H1242,19
NIV,H4427,19
KJV,H2005,19
KJV,H4390,19
ESV,H3206,19
NLT,H1431,19
NIV,H1242,19
NIV,H5307,19
KJV,H68,18
NIV,H7927,18
KJV,H7927,18
NIV,H3190,18
KJV,H3190,18
KJV,H2543,18
NLT,H5795,18
KJV,H702,18
NLT,H4310,18
NIV,H1129,18
ESV,H622,18
ESV,H1129,18
ESV,H6030,18
KJV,H7462,18
NLT,H7927,18
KJV,H8297,18
ESV,H5795,18
NLT,H3190,18
KJV,H4310,18
ESV,H7970,18
NLT,H622,18
NIV,H7970,18
NIV,H6030,18
NIV,H4310,18
NIV,H5795,18
NIV,H622,18
ESV,H7927,18
ESV,H3190,18
KJV,H1992,18
NLT,H1129,18
NLT,H7970,18
NLT,H6030,18
ESV,H4310,18
ESV,H4397,17
NIV,H7431,17
ESV,H8297,17
ESV,H4327,17
KJV,H1241,17
NLT,H4327,17
KJV,H5152,17
NLT,H7431,17
KJV,H8354,17
KJV,H1144,17
NLT,H4397,17
ESV,H1241,17
NLT,H4135,17
KJV,H8432,17
KJV,H5608,17
NIV,H4397,17
NIV,H4327,17
KJV,H157,17
KJV,H5265,17
NLT,H3458,17
KJV,H4945,17
KJV,H8672,17
ESV,H2543,17
NIV,H4135,17
KJV,H6510,17
ESV,H7843,17
KJV,H6509,17
NIV,H7843,17
ESV,H8354,17
ESV,H7431,17
NIV,H1144,17
NLT,H2543,17
NIV,H1241,17
ESV,H1144,17
NIV,H8354,17
NLT,H1241,17
NLT,H8297,17
NIV,H3458,17
KJV,H4397,17
KJV,H3458,17
NIV,H8297,17
KJV,H4116,17
NLT,H8354,17
KJV,H4327,17
NLT,H1144,17
ESV,H3458,17
NLT,H7843,17
ESV,H4135,17
NIV,H2543,17
ESV,H4390,16
ESV,H7965,16
ESV,H400,16
NLT,H1293,16
NLT,H4390,16
KJV,H8083,16
ESV,H2492,16
NIV,H2945,16
KJV,H400,16
ESV,H7925,16
NLT,H7965,16
NLT,H5152,16
NIV,H7014,16
NLT,H7014,16
NLT,H7925,16
ESV,H2945,16
NLT,H1060,16
ESV,H7014,16
NLT,H400,16
NIV,H1293,16
NIV,H7965,16
NIV,H4390,16
ESV,H1058,16
ESV,H1293,16
NLT,H1058,16
ESV,H7666,16
NIV,H2492,16
NIV,H7925,16
KJV,H2492,16
NLT,H7666,16
NIV,H2026,16
KJV,H7592,16
KJV,H7641,16
NIV,H1060,16
NIV,H1058,16
KJV,H1293,16
NLT,H2492,16
ESV,H5152,16
NIV,H400,16
ESV,H2026,16
NLT,H2026,16
KJV,H2026,16
NLT,H2945,16
ESV,H1060,16
NIV,H7666,16
KJV,H572,16
KJV,H5975,16
NIV,H5152,16
KJV,H7014,16
ESV,H312,15
NIV,H6485,15
NIV,H8432,15
NLT,H6485,15
NLT,H68,15
NLT,H3426,15
KJV,H6235,15
ESV,H8432,15
KJV,H3423,15
ESV,H5493,15
KJV,H3820,15
NIV,H6235,15
NLT,H702,15
KJV,H8104,15
ESV,H8145,15
NLT,H572,15
KJV,H705,15
NIV,H312,15
ESV,H6485,15
NLT,H5493,15
NLT,H8145,15
NIV,H572,15
KJV,H2142,15
KJV,H5324,15
ESV,H68,15
KJV,H7489,15
NIV,H3254,15
KJV,H2320,15
KJV,H7272,15
NIV,H8145,15
ESV,H705,15
NLT,H8104,15
ESV,H3426,15
ESV,H572,15
NIV,H8104,15
NIV,H5493,15
ESV,H8104,15
NIV,H3426,15
ESV,H3254,15
NLT,H6235,15
NLT,H705,15
ESV,H5975,15
KJV,H6718,15
NIV,H702,15
NIV,H5975,15
NLT,H5975,15
NIV,H705,15
KJV,H7965,15
ESV,H6235,15
KJV,H5493,15
NLT,H8432,15
ESV,H702,15
NLT,H312,15
KJV,H312,15
NIV,H68,15
KJV,H587,15
KJV,H1060,15
NLT,H3254,15
KJV,H899,14
KJV,H905,14
NIV,H1588,14
NIV,H4116,14
KJV,H5800,14
ESV,H123,14
NLT,H899,14
KJV,H1254,14
NIV,H853,14
KJV,H7069,14
NLT,H1588,14
NIV,H157,14
KJV,H1588,14
NLT,H853,14
ESV,H3885,14
KJV,H7666,14
ESV,H2580,14
NIV,H8035,14
ESV,H157,14
KJV,H389,14
ESV,H8435,14
NLT,H5769,14
NIV,H123,14
ESV,H6471,14
KJV,H7227,14
NLT,H8435,14
KJV,H639,14
NIV,H3885,14
NIV,H2145,14
KJV,H7925,14
ESV,H1588,14
ESV,H5930,14
KJV,H5978,14
ESV,H853,14
NIV,H5769,14
KJV,H1589,14
KJV,H5221,14
NIV,H8435,14
NIV,H6471,14
NLT,H8035,14
KJV,H2145,14
KJV,H8035,14
ESV,H4116,14
KJV,H7323,14
NLT,H2145,14
KJV,H2580,14
NLT,H5930,14
NIV,H2580,14
NIV,H5930,14
NIV,H899,14
NLT,H3885,14
NLT,H2580,14
NLT,H4116,14
ESV,H2145,14
ESV,H899,14
NLT,H123,14
NLT,H157,14
ESV,H8035,14
ESV,H5769,14
NLT,H6471,14
ESV,H7592,13
KJV,H6711,13
NLT,H639,13
KJV,H3220,13
NIV,H6153,13
NIV,H5324,13
KJV,H7205,13
NIV,H2845,13
ESV,H2845,13
NLT,H2734,13
ESV,H3220,13
ESV,H7227,13
NIV,H8672,13
NLT,H410,13
NIV,H5265,13
KJV,H6485,13
NIV,H7205,13
NIV,H5162,13
ESV,H7489,13
KJV,H2845,13
KJV,H5104,13
ESV,H639,13
ESV,H6711,13
NLT,H7227,13
NLT,H7205,13
KJV,H644,13
ESV,H7272,13
NLT,H6153,13
ESV,H5608,13
NLT,H389,13
ESV,H7534,13
NLT,H7534,13
KJV,H8435,13
KJV,H123,13
NLT,H5324,13
ESV,H4196,13
NIV,H410,13
KJV,H7399,13
ESV,H7122,13
ESV,H8672,13
NIV,H7272,13
ESV,H5162,13
NLT,H7489,13
NLT,H3220,13
ESV,H905,13
NIV,H5608,13
NLT,H5162,13
NIV,H7489,13
NLT,H8672,13
NIV,H905,13
NIV,H3220,13
NIV,H6711,13
KJV,H6153,13
ESV,H410,13
ESV,H6153,13
ESV,H2734,13
NLT,H5608,13
KJV,H5769,13
NLT,H7592,13
NIV,H639,13
NIV,H7592,13
NLT,H7122,13
NIV,H4196,13
NLT,H4196,13
NIV,H7122,13
KJV,H5401,13
NIV,H7534,13
ESV,H5324,13
NLT,H6711,13
ESV,H7205,13
KJV,H8145,13
NIV,H389,13
KJV,H4196,13
NLT,H7272,13
NLT,H2845,13
NIV,H7227,13
NLT,H905,13
ESV,H5265,13
NIV,H2734,13
ESV,H389,13
KJV,H5234,13
NLT,H5265,13
NLT,H6242,12
NIV,H4592,12
NIV,H6085,12
KJV,H4940,12
NLT,H5668,12
KJV,H6607,12
NLT,H4592,12
NIV,H2005,12
KJV,H1904,12
NLT,H1008,12
ESV,H6085,12
KJV,H194,12
ESV,H1904,12
NLT,H2005,12
NIV,H1904,12
NIV,H7069,12
NIV,H1931,12
NIV,H4945,12
ESV,H4592,12
NIV,H4940,12
NIV,H194,12
NLT,H4303,12
KJV,H6924,12
KJV,H6662,12
NLT,H194,12
NLT,H1931,12
ESV,H6242,12
ESV,H2005,12
NLT,H1904,12
NIV,H2962,12
NIV,H4503,12
ESV,H4503,12
NLT,H6085,12
NLT,H4503,12
NIV,H1589,12
ESV,H2962,12
NLT,H5401,12
KJV,H6605,12
KJV,H4758,12
KJV,H6256,12
ESV,H3541,12
ESV,H1931,12
NIV,H5668,12
NLT,H6718,12
ESV,H3999,12
ESV,H1589,12
KJV,H6085,12
NIV,H6242,12
KJV,H2351,12
ESV,H5401,12
KJV,H3999,12
NIV,H4303,12
NLT,H4945,12
ESV,H6718,12
KJV,H6242,12
NLT,H5221,12
NLT,H3541,12
ESV,H4940,12
ESV,H4303,12
ESV,H4945,12
NLT,H7069,12
NIV,H3999,12
ESV,H7069,12
NIV,H6510,12
KJV,H4503,12
ESV,H5221,12
NLT,H6924,12
NLT,H2962,12
NIV,H1008,12
NIV,H5401,12
NLT,H1589,12
ESV,H6924,12
NLT,H4940,12
NIV,H3541,12
ESV,H5668,12
KJV,H1818,12
NLT,H6510,12
NIV,H6718,12
NIV,H5221,12
NLT,H3999,12
ESV,H194,12
ESV,H1008,12
ESV,H6510,12
NIV,H6924,12
ESV,H669,11
NLT,H5186,11
ESV,H2585,11
KJV,H2544,11
NIV,H5234,11
KJV,H7125,11
NLT,H4676,11
NLT,H5800,11
NLT,H4713,11
NLT,H2398,11
NIV,H3225,11
KJV,H5162,11
ESV,H2617,11
NLT,H2351,11
ESV,H1254,11
KJV,H7307,11
NIV,H5186,11
ESV,H2205,11
ESV,H7399,11
NIV,H3820,11
NIV,H3669,11
NIV,H2205,11
NIV,H7307,11
ESV,H1818,11
KJV,H3885,11
ESV,H6607,11
NLT,H4519,11
KJV,H3669,11
ESV,H7307,11
NLT,H2544,11
ESV,H7223,11
NLT,H8083,11
NIV,H7399,11
ESV,H7323,11
NLT,H4631,11
ESV,H3669,11
NIV,H7223,11
NIV,H884,11
NIV,H5800,11
ESV,H2351,11
NLT,H2585,11
ESV,H6307,11
NIV,H7323,11
ESV,H4519,11
NLT,H7399,11
NLT,H2205,11
ESV,H7641,11
NIV,H2585,11
NLT,H5234,11
NLT,H2320,11
NIV,H2617,11
KJV,H3680,11
NIV,H2544,11
NLT,H7323,11
NLT,H7223,11
ESV,H3225,11
NIV,H7641,11
NLT,H1818,11
ESV,H2544,11
NLT,H6307,11
KJV,H272,11
ESV,H4713,11
ESV,H5800,11
ESV,H4676,11
ESV,H8083,11
KJV,H6622,11
NIV,H2398,11
NIV,H4631,11
NIV,H4676,11
KJV,H669,11
NIV,H4713,11
NIV,H2351,11
KJV,H6504,11
NIV,H1818,11
ESV,H2398,11
NIV,H1254,11
NLT,H884,11
KJV,H4592,11
KJV,H4519,11
KJV,H4631,11
ESV,H884,11
NLT,H1254,11
ESV,H5186,11
KJV,H5795,11
ESV,H5234,11
KJV,H3409,11
KJV,H631,11
NIV,H6307,11
NLT,H669,11
NLT,H3669,11
NLT,H7641,11
NLT,H3820,11
NLT,H6607,11
NIV,H6607,11
NIV,H4519,11
NLT,H3225,11
KJV,H2572,11
NIV,H669,11
NLT,H7307,11
ESV,H3820,11
KJV,H2585,11
NIV,H8083,11
KJV,H2617,11
ESV,H4631,11
NIV,H2320,11
NLT,H2617,11
ESV,H2320,11
NIV,H4376,10
NLT,H7430,10
NIV,H1657,10
NLT,H1423,10
KJV,H3772,10
NLT,H3196,10
NIV,H1478,10
KJV,H7535,10
KJV,H7579,10
NLT,H3929,10
KJV,H1755,10
ESV,H1478,10
ESV,H3929,10
ESV,H3196,10
KJV,H6471,10
NLT,H1657,10
ESV,H6662,10
KJV,H1115,10
NLT,H3772,10
KJV,H8095,10
KJV,H7223,10
KJV,H2962,10
KJV,H4264,10
KJV,H3929,10
NIV,H7872,10
NLT,H3423,10
KJV,H6106,10
NLT,H4376,10
KJV,H5739,10
NIV,H3929,10
KJV,H4376,10
NIV,H6662,10
NLT,H6662,10
KJV,H7430,10
KJV,H7431,10
ESV,H4376,10
KJV,H1657,10
ESV,H6106,10
NIV,H3196,10
ESV,H3772,10
NLT,H7872,10
NIV,H2142,10
KJV,H7647,10
ESV,H2142,10
KJV,H2490,10
NIV,H3423,10
ESV,H7430,10
NIV,H6106,10
NIV,H7430,10
NIV,H1423,10
ESV,H8095,10
ESV,H3423,10
NLT,H2142,10
KJV,H8193,10
NLT,H6106,10
KJV,H1272,10
KJV,H4471,10
NLT,H1478,10
KJV,H5060,10
KJV,H6743,10
NLT,H4471,10
ESV,H4471,10
NLT,H8095,10
NIV,H8095,10
ESV,H1423,10
NIV,H4471,10
NIV,H3772,10
KJV,H3196,10
ESV,H1657,10
KJV,H3541,10
ESV,H7872,10
KJV,H1481,10
KJV,H1090,9
ESV,H779,9
KJV,H4138,9
NLT,H953,9
NLT,H413,9
ESV,H7579,9
NIV,H2526,9
NLT,H2850,9
ESV,H3315,9
NLT,H4138,9
NIV,H8165,9
NIV,H272,9
NIV,H6529,9
KJV,H2205,9
NLT,H3409,9
NIV,H2091,9
NIV,H6034,9
ESV,H7549,9
ESV,H136,9
ESV,H953,9
ESV,H7992,9
NLT,H3537,9
ESV,H8646,9
ESV,H7126,9
NLT,H2572,9
NIV,H5945,9
NLT,H5104,9
NLT,H8646,9
NLT,H3515,9
NIV,H644,9
ESV,H3537,9
ESV,H8165,9
NIV,H5739,9
NIV,H6605,9
KJV,H3709,9
NLT,H2526,9
NLT,H4910,9
NLT,H272,9
NIV,H8179,9
KJV,H1478,9
NIV,H6017,9
NLT,H3315,9
KJV,H6529,9
KJV,H3801,9
NIV,H6622,9
NIV,H2850,9
NIV,H2204,9
NIV,H2572,9
KJV,H2091,9
ESV,H8179,9
ESV,H2204,9
ESV,H2572,9
KJV,H6034,9
KJV,H6083,9
KJV,H3627,9
NLT,H3709,9
ESV,H8027,9
NLT,H3627,9
NLT,H3211,9
KJV,H6327,9
ESV,H1328,9
ESV,H2526,9
NIV,H6083,9
KJV,H1328,9
NIV,H6256,9
NIV,H8646,9
ESV,H3409,9
ESV,H3515,9
ESV,H2850,9
NLT,H3801,9
KJV,H6017,9
NIV,H7126,9
KJV,H5348,9
ESV,H1272,9
ESV,H3211,9
KJV,H519,9
KJV,H5291,9
KJV,H2398,9
ESV,H3709,9
NLT,H6529,9
KJV,H2850,9
KJV,H779,9
ESV,H644,9
ESV,H1481,9
NLT,H6605,9
NLT,H2091,9
NLT,H6622,9
NLT,H1090,9
ESV,H5437,9
NLT,H779,9
NIV,H3315,9
ESV,H6529,9
KJV,H8646,9
ESV,H5348,9
NLT,H6017,9
NIV,H4138,9
KJV,H7657,9
NLT,H2204,9
NIV,H8027,9
NIV,H779,9
ESV,H6605,9
KJV,H4676,9
NIV,H413,9
ESV,H6622,9
NLT,H5437,9
KJV,H883,9
NIV,H3515,9
KJV,H3537,9
NLT,H644,9
KJV,H2526,9
ESV,H5945,9
ESV,H6083,9
NLT,H7992,9
NLT,H5945,9
ESV,H6034,9
ESV,H6017,9
ESV,H1090,9
NLT,H6034,9
KJV,H3515,9
KJV,H2658,9
ESV,H2091,9
NLT,H6083,9
ESV,H3801,9
NLT,H8027,9
KJV,H7992,9
NLT,H5739,9
KJV,H8165,9
KJV,H8179,9
NIV,H7549,9
NIV,H3409,9
NIV,H7579,9
NLT,H6256,9
KJV,H8337,9
KJV,H8346,9
KJV,H7931,9
ESV,H6256,9
ESV,H5739,9
NIV,H5104,9
KJV,H4910,9
KJV,H953,9
NIV,H4910,9
NLT,H136,9
KJV,H3303,9
NIV,H1328,9
NLT,H7126,9
NLT,H1481,9
KJV,H3364,9
NLT,H7579,9
